crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
19834,MATH 2305,Discrete Mathematics,TuTh,1:00PM,2:20PM,Bayou Building 3326,Nancy Ramirez,Spring 2023,100% F2F w/supplmtnl web,Opened
26644,MATH 2305,Discrete Mathematics,MoWe,4:00PM,5:20PM,Bayou Building 2524,Nancy Ramirez,Spring 2023,100% F2F w/supplmtnl web,Opened
19835,MATH 2315,Calculus III,TuTh,4:00PM,5:20PM,Bayou Building 2311,Manki Cho,Spring 2023,100% F2F w/supplmtnl web,Opened
19925,MATH 2318,Linear Algebra,TuTh,4:00PM,5:20PM,Bayou Building 2122,Nancy Ramirez,Spring 2023,100% F2F w/supplmtnl web,Closed
19929,MATH 2318,Linear Algebra,MoWe,11:00AM,12:20PM,Bayou Building 2122,Manki Cho,Spring 2023,100% F2F w/supplmtnl web,Opened
19932,MATH 2320,Differential Equations,MoWe,1:00PM,2:20PM,Bayou Building 2311,LieJune Shiau,Spring 2023,100% F2F w/supplmtnl web,Opened
19935,MATH 2412,Pre-Calculus Mathematics,MoTuWeTh,10:00AM,10:50AM,Bayou Building 1211,Nelson L Carter,Spring 2023,100% F2F w/supplmtnl web,Opened
19939,MATH 2412,Pre-Calculus Mathematics,MoTuWeTh,1:00PM,1:50PM,Bayou Building 2236,Michael Heerey,Spring 2023,100% F2F w/supplmtnl web,Opened
19941,MATH 2413,Calculus I,MoTuWeTh,11:00AM,11:50AM,Bayou Building 2236,Nelson L Carter,Spring 2023,100% F2F w/supplmtnl web,Opened
19942,MATH 2413,Calculus I,MoTuWeTh,3:00PM,3:50PM,Bayou Building 2122,Nancy Ramirez,Spring 2023,100% F2F w/supplmtnl web,Opened
19946,MATH 2414,Calculus II,MoTuWeTh,2:00PM,2:50PM,Bayou Building 2236,Yipeng Yang,Spring 2023,100% F2F w/supplmtnl web,Opened
19947,MATH 2414,Calculus II,MoTuWeTh,10:00AM,10:50AM,SSCB 3310,Manki Cho,Spring 2023,100% F2F w/supplmtnl web,Closed
19959,MATH 3300,Introduction to Modern Algebra and Number Theory,MoWe,5:30PM,6:50PM,Bayou Building 2524,Jingjing Ma,Spring 2023,100% F2F w/supplmtnl web,Opened
19976,MATH 3304,Algebra Through Technology,TuTh,4:00PM,5:20PM,Bayou Building 3400,Thomas B Fox,Spring 2023,100% F2F w/supplmtnl web,Opened
19977,MATH 3305,Euclidian/Non-Euclidian Geom,TuTh,5:30PM,6:50PM,Bayou Building 3400,Thomas B Fox,Spring 2023,100% F2F w/supplmtnl web,Opened
19984,MATH 3331,Advanced Calculus,TuTh,4:00PM,5:20PM,Bayou Building 2235,Yipeng Yang,Spring 2023,100% F2F w/supplmtnl web,Opened
19989,MATH 4322,Introduction to Abstract Algebra,MoWe,7:00PM,8:20PM,Bayou Building 3315,Jingjing Ma,Spring 2023,100% F2F w/supplmtnl web,Opened
19992,MATH 4325,Theory Of Models and Applications,MoWe,4:00PM,5:20PM,Bayou Building 2234,LieJune Shiau,Spring 2023,100% F2F w/supplmtnl web,Opened
19995,MATH 4341,Intro To Analysis,TuTh,7:00PM,8:20PM,Bayou Building 2235,Zokhrab Mustafaev,Spring 2023,100% F2F w/supplmtnl web,Opened
20025,MATH 4344,Intro To Probability,TuTh,5:30PM,6:50PM,Bayou Building 2122,Yingfu Li,Spring 2023,100% F2F w/supplmtnl web,Opened
20029,MATH 4348,Introduction to Financial Mathematics for Exam FM,MoWe,5:30PM,6:50PM,Bayou Building 2234,Yipeng Yang,Spring 2023,100% F2F w/supplmtnl web,Opened
20035,MATH 5034,Geometry Seminar,Tu,7:00PM,9:50PM,Bayou Building 3315,Nelson L Carter,Spring 2023,100% F2F w/supplmtnl web,Opened
20042,MATH 5330,Mathematical Software and Modeling Simulation,MoWe,5:30PM,6:50PM,Bayou Building 3400,LieJune Shiau,Spring 2023,100% F2F w/supplmtnl web,Opened
20274,MATH 6837,Research Project I,TDB,TDB,TDB,TBA,Jingjing Ma,Spring 2023,100% F2F w/supplmtnl web,Opened
20275,MATH 6838,Research Project II,TDB,TDB,TDB,TBA,Jingjing Ma,Spring 2023,100% F2F w/supplmtnl web,Opened
19592,MENG 1204,Engineering Graphics for Mechanical Engineers,Fr,9:00AM,9:50AM,STEM 2103,Ariful Bhuiyan,Spring 2023,100% F2F w/supplmtnl web,Opened
19593,MENG 1204,Engineering Graphics for Mechanical Engineers,Mo,4:00PM,6:50PM,STEM 1112,Ariful Bhuiyan,Spring 2023,100% F2F w/supplmtnl web,Opened
19594,MENG 1204,Engineering Graphics for Mechanical Engineers,We,4:00PM,6:50PM,STEM 1112,Ariful Bhuiyan,Spring 2023,100% F2F w/supplmtnl web,Opened
19595,MENG 1204,Engineering Graphics for Mechanical Engineers,Fr,10:00AM,10:50AM,STEM 2103,Kazi Md Masum Billah,Spring 2023,100% F2F w/supplmtnl web,Closed
19596,MENG 1204,Engineering Graphics for Mechanical Engineers,We,1:00PM,3:50PM,STEM 1112,Kazi Md Masum Billah,Spring 2023,100% F2F w/supplmtnl web,Closed
19598,MENG 3211,Mechanical Engineering Lab II,Fr,10:00AM,10:50AM,STEM 2105,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
19599,MENG 3211,Mechanical Engineering Lab II,Mo,1:00PM,3:50PM,STEM 1109,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
19600,MENG 3211,Mechanical Engineering Lab II,Fr,12:00PM,12:50PM,STEM 2101,Angel R Alvarez-Hernandez,Spring 2023,100% F2F w/supplmtnl web,Opened
19601,MENG 3211,Mechanical Engineering Lab II,Tu,5:30PM,7:50PM,STEM 1109,Angel R Alvarez-Hernandez,Spring 2023,100% F2F w/supplmtnl web,Opened
19602,MENG 3211,Mechanical Engineering Lab II,Th,5:30PM,7:50PM,STEM 1109,Angel R Alvarez-Hernandez,Spring 2023,100% F2F w/supplmtnl web,Opened
19672,MENG 3310,Introduction to Fluid Mechanics,TuTh,1:00PM,2:20PM,STEM 2103,Mohsen Daghooghi,Spring 2023,100% F2F w/supplmtnl web,Opened
19671,MENG 3314,Design Methodology,MoWe,10:00AM,11:20AM,STEM 2101,Youssef Khalid Alaoui Hamidi,Spring 2023,100% F2F w/supplmtnl web,Opened
19673,MENG 3316,Heat Transfer,MoWe,8:30AM,9:50AM,STEM 2101,Mohsen Daghooghi,Spring 2023,100% F2F w/supplmtnl web,Opened
25786,MENG 3316,Heat Transfer,TuTh,4:00PM,5:20PM,STEM 2103,Eugene Kenneth Ungar,Spring 2023,100% F2F w/supplmtnl web,Opened
19675,MENG 3334,Thermodynamics,TuTh,10:00AM,11:20AM,STEM 2103,Eugene Kenneth Ungar,Spring 2023,100% F2F w/supplmtnl web,Opened
19657,MENG 3344,Introduction to Manufacturing Processes,MoWe,5:30PM,6:20PM,STEM 1203,Kazi Md Masum Billah,Spring 2023,100% F2F w/supplmtnl web,Opened
19658,MENG 3344,Introduction to Manufacturing Processes,Tu,8:30AM,11:20AM,STEM 1111,Kazi Md Masum Billah,Spring 2023,100% F2F w/supplmtnl web,Closed
19659,MENG 3344,Introduction to Manufacturing Processes,Th,8:30AM,11:20AM,STEM 1111,Kazi Md Masum Billah,Spring 2023,100% F2F w/supplmtnl web,Opened
19678,MENG 4241,Senior Design Project II,TuTh,1:00PM,3:50PM,STEM 1115,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
19679,MENG 4241,Senior Design Project II,TuTh,4:00PM,6:50PM,STEM 1113,Jeffrey R Mountain,Spring 2023,100% F2F w/supplmtnl web,Opened
