crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
23890,CHEM 1311,General Chemistry I,TH,1300,1420,STEM 2103,To be Announced,Fall 2023,100% F2F w/supplmtnl web,Closed
23891,CHEM 1311,General Chemistry I,TH,830,950,STEM 1203,Monica Khural,Fall 2023,100% F2F w/supplmtnl web,Opened
23895,CHEM 1312,General Chemistry II,TH,1000,1120,TBA,Yi Su,Fall 2023,100% F2F w/supplmtnl web,Opened
23903,CHEM 2123,Lab for Organic Chemistry I,M,900,1150,STEM 3117,Revathy Kulasekharan,Fall 2023,100% F2F w/supplmtnl web,Closed
23904,CHEM 2123,Lab for Organic Chemistry I,M,1300,1550,STEM 3117,Revathy Kulasekharan,Fall 2023,100% F2F w/supplmtnl web,Opened
23905,CHEM 2123,Lab for Organic Chemistry I,M,1600,1850,STEM 3117,To be Announced,Fall 2023,100% F2F w/supplmtnl web,Opened
23906,CHEM 2123,Lab for Organic Chemistry I,W,900,1150,STEM 3117,Nataliya Aleksandrovna Markina,Fall 2023,100% F2F w/supplmtnl web,Opened
23907,CHEM 2123,Lab for Organic Chemistry I,W,1300,1550,STEM 3117,Nataliya Aleksandrovna Markina,Fall 2023,100% F2F w/supplmtnl web,Opened
23908,CHEM 2123,Lab for Organic Chemistry I,W,1600,1850,STEM 3117,To be Announced,Fall 2023,100% F2F w/supplmtnl web,Opened
23896,CHEM 2125,Lab for Organic Chemistry II,F,900,1150,STEM 3117,Nataliya Aleksandrovna Markina,Fall 2023,100% F2F w/supplmtnl web,Opened
23900,CHEM 2125,Lab for Organic Chemistry II,F,1300,1550,TBA,Nataliya Aleksandrovna Markina,Fall 2023,100% F2F w/supplmtnl web,Opened
23909,CHEM 2323,Organic Chemistry I,TH,1000,1120,STEM 2101,Zerong Wang,Fall 2023,100% F2F w/supplmtnl web,Closed
23910,CHEM 2323,Organic Chemistry I,TH,1730,1850,STEM 1203,To be Announced,Fall 2023,100% F2F w/supplmtnl web,Closed
23901,CHEM 2325,Organic Chemistry II,TH,1000,1120,STEM 3133,Nataliya Aleksandrovna Markina,Fall 2023,100% F2F w/supplmtnl web,Opened
23921,CHEM 2377,Life and the Universe,TDB,TDB,TDB,TBA,Alexandra Jeanette MacDermott,Fall 2023,100% Online,Opened
23919,CHEM 3310,Advanced Chemical Calculations,T,1900,2150,STEM 2115,Alexandra Jeanette MacDermott,Fall 2023,100% F2F w/supplmtnl web,Opened
23933,CHEM 4115,Chemistry Practicum (ATA),TDB,TDB,TDB,TBA,Nataliya Aleksandrovna Markina,Fall 2023,100% F2F w/supplmtnl web,Opened
23934,CHEM 4115,Chemistry Practicum (ATA),TDB,TDB,TDB,TBA,Monica Khural,Fall 2023,100% F2F w/supplmtnl web,Opened
23918,CHEM 4222,Lab For Physical Chemistry,M,100,450,STEM 3119,Yi Su,Fall 2023,100% F2F w/supplmtnl web,Opened
23916,CHEM 4235,Adv Lab for Inorganic Chemistry,W,1900,2150,STEM 3123,Jack Y Lu,Fall 2023,100% F2F w/supplmtnl web,Opened
23913,CHEM 4274,Laboratory for Quantitative Chemical Analysis,F,1300,1650,STEM 3119,Charuksha Thameera Walgama,Fall 2023,100% F2F w/supplmtnl web,Opened
25619,CHEM 4321,Physical Chemistry I,TH,1730,1850,STEM 2103,Alexandra Jeanette MacDermott,Fall 2023,100% F2F w/supplmtnl web,Opened
23917,CHEM 4335,Inorganic Chemistry,W,1300,1550,STEM 3133,Jack Y Lu,Fall 2023,100% F2F w/supplmtnl web,Opened
23929,CHEM 4365,Introduction to Polymer Chemistry,M,900,1150,STEM 2103,Zerong Wang,Fall 2023,100% F2F w/supplmtnl web,Opened
23911,CHEM 4368,Advanced Organic Chemistry,W,1600,1850,STEM 3133,Zerong Wang,Fall 2023,100% F2F w/supplmtnl web,Opened
23922,CHEM 4372,Undergraduate Research I and Seminar,M,1900,2150,STEM 2105,Jack Y Lu,Fall 2023,100% F2F w/supplmtnl web,Opened
23914,CHEM 4373,Quantitative Chemical Analysis,TH,1600,1720,STEM 2105,Charuksha Thameera Walgama,Fall 2023,100% F2F w/supplmtnl web,Opened
23924,CHEM 4379,Undergraduate Research II,M,1900,2150,STEM 3133,Jack Y Lu,Fall 2023,100% F2F w/supplmtnl web,Opened
23912,CHEM 5134,Synthetic Organic Chemistry,W,1600,1850,STEM 3133,Zerong Wang,Fall 2023,100% F2F w/supplmtnl web,Opened
23930,CHEM 5635,Advanced Polymer Chemistry,M,900,1150,STEM 2103,Zerong Wang,Fall 2023,100% F2F w/supplmtnl web,Opened
23915,CHEM 5636,Advanced Analytical Chemistry,T,1900,2150,STEM 3133,Charuksha Thameera Walgama,Fall 2023,100% F2F w/supplmtnl web,Opened
23932,CHEM 5637,Modern Spectroscopy,H,1900,2150,STEM 2103,Yi Su,Fall 2023,100% F2F w/supplmtnl web,Opened
23926,CHEM 6837,Research Project I and Seminar,M,1900,2150,STEM 2105,Jack Y Lu,Fall 2023,100% F2F w/supplmtnl web,Opened
