crn,course_code,name,days,start_time,end_time,room_num,instructor,semester,mode,status
21246,BIOL 4241,Laboratory For Physiology,H,1300,1650,BAYOU 3604,Stephen Michael Gruber,Spring 2023,100% F2F w/supplmtnl web,Opened
21247,BIOL 4241,Laboratory For Physiology,H,900,1250,BAYOU 3604,Stephen Michael Gruber,Spring 2023,100% F2F w/supplmtnl web,Closed
21260,BIOL 4242,Laboratory For Biochemistry,M,1200,1550,Bayou Building 3520,Scott Buckel,Spring 2023,100% F2F w/supplmtnl web,Opened
21262,BIOL 4242,Laboratory For Biochemistry,T,1200,1550,Bayou Building 3520,Scott Buckel,Spring 2023,100% F2F w/supplmtnl web,Opened
21263,BIOL 4252,Molecular Biology Laboratory,T,1200,1550,Bayou Building 3108,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21264,BIOL 4254,Laboratory for Eukaryotic Gene,W,1200,1550,Bayou Building 3108,Lory Zoe Santiago-Vazquez,Spring 2023,100% F2F w/supplmtnl web,Opened
21265,BIOL 4278,Seminar in Biology,W,1300,1450,Bayou Building 1135,Brian Stephens,Spring 2023,100% F2F w/supplmtnl web,Opened
24422,BIOL 4278,Seminar in Biology,W,1600,1750,Bayou Building 1213,Brian Stephens,Spring 2023,100% F2F w/supplmtnl web,Closed
23477,BIOL 4311,Ecology,M,1900,2150,Bayou Building 2512,Cindy Howard,Spring 2023,> or equal to 50% Online,Opened
23478,BIOL 4315,Biology Practicum,TDB,TDB,TDB,TBA,Cindy Howard,Spring 2023,100% F2F w/supplmtnl web,Opened
25439,BIOL 4325,Environmental Toxicology,MW,1600,1720,Bayou Building 3326,Cindy Howard,Spring 2023,100% F2F w/supplmtnl web,Opened
23482,BIOL 4341,Biochemistry I,TH,1000,1120,Bayou Building 2512,William R Mills,Spring 2023,100% F2F w/supplmtnl web,Opened
23483,BIOL 4342,Biochemistry II,MW,1130,1250,Bayou Building 2512,William R Mills,Spring 2023,100% F2F w/supplmtnl web,Opened
23484,BIOL 4343,Plant Physiology,TH,1600,1720,Bayou Building 2512,Brian Stephens,Spring 2023,100% F2F w/supplmtnl web,Closed
21250,BIOL 4345,Human Physiology,M,1600,1850,Bayou Building 2512,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Closed
21248,BIOL 4346,Pathophysiology,H,1600,1850,Bayou Building 2234,Richard L Puzdrowski,Spring 2023,100% F2F w/supplmtnl web,Opened
21244,BIOL 4347,Cellular Physiology,T,1300,1550,STEM 2101,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Opened
21243,BIOL 4348,Developmental Biology,W,1900,2150,Bayou Building 2236,Larry H Rohde,Spring 2023,100% F2F w/supplmtnl web,Opened
21242,BIOL 4351,Molecular Biology I,M,1600,1850,Bayou Building 2236,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21241,BIOL 4355,Tissue Culture,M,1900,2150,Bayou Building 3108,Larry H Rohde,Spring 2023,100% F2F w/supplmtnl web,Closed
21240,BIOL 4361,Immunology,H,900,1150,Bayou Building 3332,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Closed
23564,BIOL 5334,Microbial Ecology,MW,1730,1850,Bayou Building 3324,Michael Geary LaMontagne,Spring 2023,100% F2F w/supplmtnl web,Opened
23565,BIOL 5436,Physiological Basis of Disease,H,1600,1850,Bayou Building 3615,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Opened
25438,BIOL 5534,Conservation Biology,TDB,TDB,TDB,TBA,Jenny Wrast Oakley,Spring 2023,100% Online,Opened
23566,BIOL 5731,Advanced Cancer Biology,M,1900,2150,Bayou Building 2234,Leonard James Giblin,Spring 2023,100% F2F w/supplmtnl web,Closed
25523,BIOL 5736,Bioethics,M,1600,1850,Bayou Building 1104,William R Mills,Spring 2023,> or equal to 50% Online,Closed
23569,BIOL 6838,Research Project And Seminar,M,1600,1850,Bayou Building 3615,Brian Stephens,Spring 2023,> or equal to 50% Online,Opened
26959,BIOL 6838,Research Project And Seminar,T,1900,2150,TBA,Scott Buckel,Spring 2023,> or equal to 50% Online,Opened
21168,BIOT 5011,Methods in Biotechnology Discussion,H,1700,1750,Bayou Building 3108,Minal Yashwant Bhadane,Spring 2023,> or equal to 50% Online,Opened
21170,BIOT 5021,Methods of Biotechnology,H,1800,2150,Bayou Building 3108,Minal Yashwant Bhadane,Spring 2023,100% F2F w/supplmtnl web,Opened
21174,BIOT 5111,Advanced Methods of Biotechnology I Discussion,M,1100,1150,Bayou Building 3108,Martha Ariza,Spring 2023,> or equal to 50% Online,Closed
21176,BIOT 5112,Advanced Methods of Biotechnology II Discussion,T,1300,1350,SSCB� 2302,Martha Ariza,Spring 2023,> or equal to 50% Online,Opened
21175,BIOT 5121,Advanced Methods of Biotechnology I,M,1200,1550,Bayou Building 3108,Martha Ariza,Spring 2023,100% F2F w/supplmtnl web,Opened
21177,BIOT 5122,Advanced Methods of Biotechnology II,T,830,1220,Bayou Building 1311,Martha Ariza,Spring 2023,100% F2F w/supplmtnl web,Opened
21181,BIOT 5530,Research Methods in Biotechnology,W,1900,2150,Bayou Building 1104,Lory Zoe Santiago-Vazquez,Spring 2023,> or equal to 50% Online,Opened
21184,BIOT 5736,Bioethics,M,1600,1850,Bayou Building 1104,William R Mills,Spring 2023,100% F2F w/supplmtnl web,Opened
21188,BIOT 5915,Cooperative Education Work Term,TDB,TDB,TDB,TBA,Lory Zoe Santiago-Vazquez,Spring 2023,100% F2F w/supplmtnl web,Opened
21173,BIOT 5933,Laboratory Topics in Biotechnology,H,830,1310,Bayou Building 3108,Martha Ariza,Spring 2023,100% F2F w/supplmtnl web,Closed
21189,BIOT 6021,Biotechnology Practicum,TDB,TDB,TDB,TBA,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21190,BIOT 6031,Biotechnology Practicum,TDB,TDB,TDB,TBA,Mohammad B Rashid,Spring 2023,100% F2F w/supplmtnl web,Opened
21191,BIOT 6838,Research Project and Seminar,W,1900,2150,Bayou Building 1104,Lory Zoe Santiago-Vazquez,Spring 2023,< 50% online,Opened
20082,CENG 2112,Lab For Digital Circuits,M,900,1150,Delta Building 128,Miguel Angel Pagan,Spring 2023,100% F2F w/supplmtnl web,Opened
